start_date,end_date,status,ip_address,progress,duration_in_seconds,finished,recorded_date,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distribution_channel,user_language,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,list,block,phase,item,sensibility,concreteness,type,direction,text,correct_response,correct_response_2,correct,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,consent
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,trial,flow.Sequence,3_1,NA,NA,completion,622.4600000000064,95642,95642.24,95674.54,96297,96300,2020-11-18T12:04:55Z,96341.14,4,1,exp,69,sensible,concrete,no_transfer,NA,Tre looked at the land with you.,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,fixation_cross,canvas.Screen,3_2_0,end_fixation,keypress(Space),response,519.8600000000006,96301,96302,96341.14,96861,96864,2020-11-18T12:04:56Z,96891.56,4,1,exp,148,nonsense,transfer,NA,NA,You retaliated Keegan the opportunity.,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,sentence_screen,canvas.Screen,3_2_1,w,keypress(w),response,117.44000000000233,96864,96865.36,96891.56,97009,97012,2020-11-18T12:04:56Z,97041.46,4,1,exp,148,nonsense,transfer,NA,NA,You retaliated Keegan the opportunity.,w,w,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,trial,flow.Sequence,3_2,NA,NA,completion,667.8600000000006,96301,96302,96341.14,97009,97013,2020-11-18T12:04:56Z,97041.46,4,1,exp,148,nonsense,transfer,NA,NA,You retaliated Keegan the opportunity.,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,fixation_cross,canvas.Screen,3_3_0,end_fixation,keypress(Space),response,95.5399999999936,97013,97024.8,97041.46,97137,97140,2020-11-18T12:04:56Z,97158.12,4,1,exp,73,sensible,concrete,no_transfer,NA,You donated money with Trae.,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,sentence_screen,canvas.Screen,3_3_1,w,keypress(w),response,162.88000000000466,97140,97141.1,97158.12,97321,97325,2020-11-18T12:04:56Z,97358.66,4,1,exp,73,sensible,concrete,no_transfer,NA,You donated money with Trae.,s,s,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,trial,flow.Sequence,3_3,NA,NA,completion,279.5399999999936,97013,97024.8,97041.46,97321,97325,2020-11-18T12:04:56Z,97358.66,4,1,exp,73,sensible,concrete,no_transfer,NA,You donated money with Trae.,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,fixation_cross,canvas.Screen,3_4_0,end_fixation,keypress(Space),response,90.33999999999651,97325,97341.14,97358.66,97449,97453,2020-11-18T12:04:56Z,97474.54,4,1,exp,156,nonsense,transfer,NA,NA,You filed the box to Martell.,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,sentence_screen,canvas.Screen,3_4_1,w,keypress(w),response,82.4600000000064,97453,97458.4,97474.54,97557,97561,2020-11-18T12:04:56Z,97591.46,4,1,exp,156,nonsense,transfer,NA,NA,You filed the box to Martell.,w,w,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,trial,flow.Sequence,3_4,NA,NA,completion,198.3399999999965,97325,97341.14,97358.66,97557,97561,2020-11-18T12:04:56Z,97591.46,4,1,exp,156,nonsense,transfer,NA,NA,You filed the box to Martell.,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
